None,date,close
0,2018-03-27,50.9
1,2018-03-26,51.86
2,2018-03-23,51.01
3,2018-03-22,52.31
4,2018-03-21,54.09
5,2018-03-20,55.32
6,2018-03-19,54.62
7,2018-03-16,55.4
8,2018-03-15,55.17
9,2018-03-14,55.28
10,2018-03-13,56.23
11,2018-03-12,56.5
12,2018-03-09,56.07
13,2018-03-08,54.79
14,2018-03-07,54.11
15,2018-03-06,53.57
16,2018-03-05,53.19
17,2018-03-02,53.18
18,2018-03-01,53.48
19,2018-02-28,54.25
20,2018-02-27,54.26
21,2018-02-26,55.0
22,2018-02-23,53.39
23,2018-02-22,52.98
24,2018-02-21,52.8
25,2018-02-20,51.72
26,2018-02-16,51.58
27,2018-02-15,51.67
28,2018-02-14,51.07
29,2018-02-13,50.87
30,2018-02-12,50.09
31,2018-02-09,48.32
32,2018-02-08,48.65
33,2018-02-07,51.4
34,2018-02-06,51.18
35,2018-02-05,49.97
36,2018-02-02,52.1
37,2018-02-01,53.88
38,2018-01-31,54.32
39,2018-01-30,52.59
40,2018-01-29,52.68
41,2018-01-26,53.07
42,2018-01-25,53.05
43,2018-01-24,54.79
44,2018-01-23,58.29
45,2018-01-22,58.1
46,2018-01-19,58.06
47,2018-01-18,58.34
48,2018-01-17,58.16
49,2018-01-16,57.985
50,2018-01-12,58.47
51,2018-01-11,56.42
52,2018-01-10,53.78
53,2018-01-09,52.08
54,2018-01-08,52.13
55,2018-01-05,52.65
56,2018-01-04,52.67
57,2018-01-03,52.33
58,2018-01-02,52.99
59,2017-12-29,52.03
60,2017-12-28,52.46
61,2017-12-27,52.4
62,2017-12-26,52.85
63,2017-12-22,52.59
64,2017-12-21,52.79
65,2017-12-20,51.92
66,2017-12-19,51.44
67,2017-12-18,51.49
68,2017-12-15,51.06
69,2017-12-14,50.21
70,2017-12-13,50.09
71,2017-12-12,50.47
72,2017-12-11,51.3
73,2017-12-08,51.02
74,2017-12-07,50.88
75,2017-12-06,49.61
76,2017-12-05,49.47
77,2017-12-04,49.93
78,2017-12-01,49.01
79,2017-11-30,50.49
80,2017-11-29,49.25
81,2017-11-28,49.22
82,2017-11-27,48.42
83,2017-11-24,48.56
84,2017-11-22,48.66
85,2017-11-21,48.65
86,2017-11-20,47.69
87,2017-11-17,47.39
88,2017-11-16,47.68
89,2017-11-15,47.19
90,2017-11-14,45.81
91,2017-11-13,45.74
