None,date,close
0,2018-03-27,44.75
1,2018-03-26,43.82
2,2018-03-23,43.25
3,2018-03-22,43.95
4,2018-03-21,43.81
5,2018-03-20,43.99
6,2018-03-19,43.98
7,2018-03-16,44.28
8,2018-03-15,43.71
9,2018-03-14,43.32
10,2018-03-13,42.96
11,2018-03-12,43.09
12,2018-03-09,42.86
13,2018-03-08,42.56
14,2018-03-07,42.49
15,2018-03-06,42.69
16,2018-03-05,43.29
17,2018-03-02,42.59
18,2018-03-01,42.36
19,2018-02-28,42.45
20,2018-02-27,42.75
21,2018-02-26,43.77
22,2018-02-23,43.86
23,2018-02-22,43.01
24,2018-02-21,43.02
25,2018-02-20,43.36
26,2018-02-16,44.2
27,2018-02-15,43.74
28,2018-02-14,42.9
29,2018-02-13,43.05
30,2018-02-12,42.88
31,2018-02-09,42.79
32,2018-02-08,41.77
33,2018-02-07,42.16
34,2018-02-06,42.16
35,2018-02-05,42.73
36,2018-02-02,43.48
37,2018-02-01,44.16
38,2018-01-31,44.75
39,2018-01-30,44.32
40,2018-01-29,44.1
41,2018-01-26,44.79
42,2018-01-25,45.0
43,2018-01-24,44.26
44,2018-01-23,44.46
45,2018-01-22,44.16
46,2018-01-19,44.05
47,2018-01-18,44.1
48,2018-01-17,44.55
49,2018-01-16,44.26
50,2018-01-12,44.01
51,2018-01-11,44.39
52,2018-01-10,44.98
53,2018-01-09,45.71
54,2018-01-08,46.34
55,2018-01-05,45.81
56,2018-01-04,46.14
57,2018-01-03,46.66
58,2018-01-02,46.95
59,2017-12-29,47.3
60,2017-12-28,47.39
61,2017-12-27,47.21
62,2017-12-26,46.81
63,2017-12-22,47.35
64,2017-12-21,47.26
65,2017-12-20,47.16
66,2017-12-19,47.72
67,2017-12-18,48.65
68,2017-12-15,49.25
69,2017-12-14,49.07
70,2017-12-13,49.25
71,2017-12-12,49.17
72,2017-12-11,50.09
73,2017-12-08,49.87
74,2017-12-07,49.58
75,2017-12-06,49.41
76,2017-12-05,49.31
77,2017-12-04,49.76
78,2017-12-01,49.74
79,2017-11-30,49.9
80,2017-11-29,49.61
81,2017-11-28,49.7
82,2017-11-27,49.75
83,2017-11-24,49.44
84,2017-11-22,49.4
85,2017-11-21,49.48
86,2017-11-20,49.41
